generation,best_fitness,mean_fitness,sigma
0,0.6,0.45909090909090905,0.2877436930203705
1,0.85,0.5181818181818181,0.29417689172548195
2,0.7,0.5136363636363637,0.28413394129354097
3,0.7,0.5,0.27221239362593264
4,0.7,0.5318181818181817,0.2724529174596612
5,0.75,0.5772727272727273,0.2705265129784086
6,0.7,0.5681818181818182,0.25757016655156034
7,0.75,0.5909090909090909,0.2402360016247887
8,0.75,0.5454545454545454,0.23648462506509615
9,0.75,0.6272727272727272,0.23060464835414568
10,0.75,0.6590909090909091,0.23380256088616072
11,0.75,0.5681818181818182,0.24393646747217806
12,0.75,0.5727272727272728,0.25914837710682503
13,0.75,0.5727272727272728,0.27424062234063235
14,0.7,0.5318181818181819,0.2622918231903354
15,0.75,0.6000000000000001,0.2630146789867329
16,0.7,0.6045454545454546,0.2422354804514364
17,0.8,0.6409090909090909,0.2341177040773564
18,0.75,0.6272727272727273,0.23456128649142122
19,0.75,0.6545454545454545,0.2357344468075167
20,0.75,0.6090909090909091,0.24275168677589776
21,0.75,0.6136363636363636,0.23958299103348046
22,0.75,0.6272727272727273,0.2370333354257709
23,0.75,0.6090909090909091,0.2340577846882028
24,0.75,0.6363636363636364,0.22320528732566597
25,0.75,0.6772727272727272,0.206566564225312
26,0.75,0.6681818181818181,0.19225472130357407
27,0.75,0.6727272727272727,0.18284353494206151
28,0.75,0.6499999999999999,0.17625604572972528
29,0.75,0.7090909090909091,0.19868323884493871
30,0.75,0.6818181818181818,0.20906418599880197
31,0.75,0.6545454545454545,0.21016278011530817
32,0.8,0.6272727272727273,0.19607606379536027
33,0.75,0.6590909090909092,0.19140227877609198
34,0.8,0.6681818181818181,0.20172542660223353
35,0.75,0.6454545454545455,0.21941800118462687
36,0.8,0.6636363636363636,0.23173080946719368
37,0.75,0.618181818181818,0.2283341999941413
38,0.9,0.6863636363636364,0.22791927902321846
39,0.8,0.6181818181818182,0.21954012983056356
40,0.75,0.5227272727272726,0.21487601671001752
41,0.8,0.6181818181818183,0.2068704327791759
42,0.75,0.5863636363636363,0.19322842583148456
43,0.75,0.6090909090909091,0.18111954692445698
44,0.8,0.7045454545454546,0.1700967362200701
45,0.75,0.6954545454545454,0.1556136658213448
46,0.8,0.7045454545454546,0.15579219779390782
47,0.8,0.6909090909090909,0.15998693461548288
48,0.75,0.6409090909090909,0.15924925154842925
49,0.95,0.6681818181818181,0.15304619727528385
